date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-04-29,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.05,141025.0,0.005004
2024-04-29,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,432.62,21324136.0,-0.02407
2024-04-26,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.99,226311.0,0.023474
2024-04-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,443.29001,32364238.0,0.004327
2024-04-25,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,441.38,81667702.0,-0.105613
2024-04-25,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.715,144973.0,-0.005518
2024-04-24,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.78,175272.0,0.00085
2024-04-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,493.5,36977437.0,-0.005241
2024-04-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,496.10001,14938574.0,0.02983
2024-04-23,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.77,96250.0,0.014655
2024-04-22,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,481.73001,17032858.0,0.001372
2024-04-22,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.6,414291.0,0.012216
2024-04-19,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.46,264358.0,-0.022184
2024-04-19,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,481.07001,25459400.0,-0.041311
2024-04-18,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,501.79999,14631579.0,0.01544
2024-04-18,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.72,187561.0,-0.002553
2024-04-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,494.17001,12085986.0,-0.011185
